DEBUG: x=0.107233, struve=0.011386
DEBUG: x=0.107687, struve=0.011482
DEBUG: x=0.108141, struve=0.011579
DEBUG: x=0.108596, struve=0.011677
DEBUG: x=0.109050, struve=0.011774
DEBUG: x=0.109505, struve=0.011873
DEBUG: x=0.109959, struve=0.011971
DEBUG: x=0.110413, struve=0.012070
DEBUG: x=0.110868, struve=0.012170
DEBUG: x=0.111322, struve=0.012270
DEBUG: x=0.111776, struve=0.012370
DEBUG: x=0.112231, struve=0.012471
DEBUG: x=0.112685, struve=0.012572
DEBUG: x=0.113140, struve=0.012673
DEBUG: x=0.113594, struve=0.012775
DEBUG: x=0.114048, struve=0.012878
DEBUG: x=0.114503, struve=0.012980
DEBUG: x=0.114957, struve=0.013083
DEBUG: x=0.115411, struve=0.013187
DEBUG: x=0.115866, struve=0.013291
DEBUG: x=0.116320, struve=0.013395
DEBUG: x=0.116775, struve=0.013500
DEBUG: x=0.117229, struve=0.013605
DEBUG: x=0.117683, struve=0.013711
DEBUG: x=0.118138, struve=0.013817
DEBUG: x=0.118592, struve=0.013923
DEBUG: x=0.119046, struve=0.014030
DEBUG: x=0.119501, struve=0.014137
DEBUG: x=0.119955, struve=0.014245
DEBUG: x=0.120410, struve=0.014353
DEBUG: x=0.120864, struve=0.014461
DEBUG: x=0.121318, struve=0.014570
DEBUG: x=0.121773, struve=0.014679
DEBUG: x=0.122227, struve=0.014789
DEBUG: x=0.122681, struve=0.014899
DEBUG: x=0.123136, struve=0.015009
DEBUG: x=0.123590, struve=0.015120
DEBUG: x=0.124045, struve=0.015232
DEBUG: x=0.124499, struve=0.015343
DEBUG: x=0.124953, struve=0.015455
DEBUG: x=0.125408, struve=0.015568
DEBUG: x=0.125862, struve=0.015681
DEBUG: x=0.126316, struve=0.015794
DEBUG: x=0.126771, struve=0.015908
DEBUG: x=0.127225, struve=0.016022
DEBUG: x=0.127680, struve=0.016136
DEBUG: x=0.128134, struve=0.016251
DEBUG: x=0.128588, struve=0.016367
DEBUG: x=0.129043, struve=0.016482
DEBUG: x=0.129497, struve=0.016598
DEBUG: x=0.129951, struve=0.016715
DEBUG: x=0.130406, struve=0.016832
DEBUG: x=0.130860, struve=0.016949
DEBUG: x=0.131315, struve=0.017067
DEBUG: x=0.131769, struve=0.017185
DEBUG: x=0.132223, struve=0.017304
DEBUG: x=0.132678, struve=0.017423
DEBUG: x=0.133132, struve=0.017542
DEBUG: x=0.133586, struve=0.017662
DEBUG: x=0.134041, struve=0.017782
DEBUG: x=0.134495, struve=0.017903
DEBUG: x=0.134950, struve=0.018024
DEBUG: x=0.135404, struve=0.018145
DEBUG: x=0.135858, struve=0.018267
DEBUG: x=0.136313, struve=0.018389
DEBUG: x=0.136767, struve=0.018512
DEBUG: x=0.137222, struve=0.018635
DEBUG: x=0.137676, struve=0.018759
DEBUG: x=0.138130, struve=0.018882
DEBUG: x=0.138585, struve=0.019007
DEBUG: x=0.139039, struve=0.019131
DEBUG: x=0.139493, struve=0.019257
DEBUG: x=0.139948, struve=0.019382
DEBUG: x=0.140402, struve=0.019508
DEBUG: x=0.140857, struve=0.019634
DEBUG: x=0.141311, struve=0.019761
DEBUG: x=0.141765, struve=0.019888
DEBUG: x=0.142220, struve=0.020016
DEBUG: x=0.142674, struve=0.020143
DEBUG: x=0.143128, struve=0.020272
DEBUG: x=0.143583, struve=0.020401
DEBUG: x=0.144037, struve=0.020530
DEBUG: x=0.144492, struve=0.020659
DEBUG: x=0.144946, struve=0.020789
DEBUG: x=0.145400, struve=0.020920
DEBUG: x=0.145855, struve=0.021050
DEBUG: x=0.146309, struve=0.021181
DEBUG: x=0.146763, struve=0.021313
DEBUG: x=0.147218, struve=0.021445
DEBUG: x=0.147672, struve=0.021577
DEBUG: x=0.148127, struve=0.021710
DEBUG: x=0.148581, struve=0.021843
DEBUG: x=0.149035, struve=0.021977
DEBUG: x=0.149490, struve=0.022111
DEBUG: x=0.149944, struve=0.022245
DEBUG: x=0.150398, struve=0.022380
DEBUG: x=0.150853, struve=0.022515
